,,,,,,,,
,,,,,,,,
CLICLO,Ponto,BAIRRO,OCORRÊNCIAS,Total,% ,,,
2 BI,TOTENS,SAUDE,TOTEM - RISCADO/DANIFICADO,,"0,00%",,,
2 BI,TOTENS,SAUDE,TOTEM - PICHAÇÃO,4,"0,10%",,,
2 BI,TOTENS,SAUDE,TOTEM - INCLINADO/BASE DANIFICADA,,"0,00%",,,
2 BI,TOTENS,SAUDE,TOTEM - COM FERRUGEM,,"0,00%",,,
2 BI,TOTENS,SAUDE,TOTEM - COM COLAGEM,5,"0,12%",,,
2 BI,TOTENS,SAUDE,PISO - SUJO,,"0,00%",,,
2 BI,TOTENS,SAUDE,PISO - PODOTATIL DANIFICADO,1,"0,02%",,,
2 BI,TOTENS,SAUDE,PISO - PODOTATIL AUSENTE,,"0,00%",,,
2 BI,TOTENS,SAUDE,PISO - ENTORNO INADEQUADO,2,"0,05%",,,
2 BI,TOTENS,SAUDE,PAINEL - FERRUGEM,,"0,00%",,,
2 BI,TOTENS,SAUDE,ITINERARIO - PICTOGRAMA DANIFICADO,,"0,00%",,,
2 BI,TOTENS,SAUDE,ITINERARIO - DIVERGENTE,,"0,00%",,,
2 BI,TOTENS,SAUDE,ITINERARIO - DANIFICADO PARCIALMENTE,37,"0,91%",,,
2 BI,TOTENS,SAUDE,ITINERARIO - AUSENTE,17,"0,42%",,,
2 BI,TOTENS,SAUDE,ESTRUTURA ABRIGO - SUJO,,"0,00%",,,
2 BI,TOTENS,SAUDE,ESTRUTURA ABRIGO - PICHAÇÃO,,"0,00%",,,
2 BI,TOTENS,SAUDE,ESTRUTURA ABRIGO - FERRUGEM,,"0,00%",,,
2 BI,TOTENS,SAUDE,ESTRUTURA ABRIGO - COLAGEM,,"0,00%",,,
2 BI,TOTENS,SAUDE,ESTRUTURA ABRIGO - BANCO PICHADO,,"0,00%",,,
2 BI,TOTENS,SAUDE,ELÉTRICA - LUMINÁRIA DANIFICADA,,"0,00%",,,
2 BI,TOTENS,SAUDE,ELÉTRICA - LUMINÁRIA AUSENTE,,"0,00%",,,
2 BI,TOTENS,SAUDE,ELÉTRICA - LUMINÁRIA ACESA DE DIA,,"0,00%",,,
2 BI,TOTENS,SAUDE,ELÉTRICA - ILUMINAÇÃO,,"0,00%",,,
2 BI,TOTENS,SAUDE,ELÉTRICA - FIAÇÃO POSTE DESCONECTADA,,"0,00%",,,
2 BI,TOTENS,SAUDE,ELÉTRICA - FIAÇÃO EXPOSTA,,"0,00%",,,
2 BI,TOTENS,SAUDE,COBERTURA - SUJA,,"0,00%",,,
2 BI,TOTENS,SAUDE,COBERTURA - DANIFICADA,,"0,00%",,,
2 BI,TOTENS,SOCORRO,PAINEL - SUJO,,"0,00%",,,
2 BI,TOTENS,SOCORRO,PAINEL - ILUMINADO DE DIA,,"0,00%",,,
2 BI,TOTENS,SOCORRO,COBERTURA - INFILTRAÇÃO,,"0,00%",,,
2 BI,TOTENS,SOCORRO,VIDRO - RISCADO,,"0,00%",,,
2 BI,TOTENS,SOCORRO,VIDRO - RESINA,,"0,00%",,,
2 BI,TOTENS,SOCORRO,VIDRO - QUEBRADO,,"0,00%",,,
2 BI,TOTENS,SOCORRO,VIDRO - PICHAÇÃO,,"0,00%",,,
2 BI,TOTENS,SOCORRO,VIDRO - COLAGEM,,"0,00%",,,
2 BI,TOTENS,SOCORRO,VIDRO - ANTEPARO AUSENTE,,"0,00%",,,
2 BI,TOTENS,SOCORRO,TOTEM - RISCADO/DANIFICADO,,"0,00%",,,
2 BI,TOTENS,SOCORRO,TOTEM - PICHAÇÃO,,"0,00%",,,
2 BI,TOTENS,SOCORRO,TOTEM - INCLINADO/BASE DANIFICADA,,"0,00%",,,
2 BI,TOTENS,SOCORRO,TOTEM - COM FERRUGEM,,"0,00%",,,
2 BI,TOTENS,SOCORRO,TOTEM - COM COLAGEM,,"0,00%",,,
2 BI,TOTENS,SOCORRO,PISO - SUJO,,"0,00%",,,
2 BI,TOTENS,SOCORRO,PISO - PODOTATIL DANIFICADO,2,"0,05%",,,
2 BI,TOTENS,SOCORRO,PISO - PODOTATIL AUSENTE,,"0,00%",,,
2 BI,TOTENS,SOCORRO,PISO - ENTORNO INADEQUADO,,"0,00%",,,
2 BI,TOTENS,SOCORRO,PAINEL - FERRUGEM,,"0,00%",,,
2 BI,TOTENS,SOCORRO,ITINERARIO - PICTOGRAMA DANIFICADO,,"0,00%",,,
2 BI,TOTENS,SOCORRO,ITINERARIO - DIVERGENTE,,"0,00%",,,
2 BI,TOTENS,SOCORRO,ITINERARIO - DANIFICADO PARCIALMENTE,,"0,00%",,,
2 BI,TOTENS,SOCORRO,ITINERARIO - AUSENTE,2,"0,05%",,,
2 BI,TOTENS,SOCORRO,ESTRUTURA ABRIGO - SUJO,,"0,00%",,,
2 BI,TOTENS,SOCORRO,ESTRUTURA ABRIGO - PICHAÇÃO,,"0,00%",,,
2 BI,TOTENS,SOCORRO,ESTRUTURA ABRIGO - FERRUGEM,,"0,00%",,,
2 BI,TOTENS,SOCORRO,ESTRUTURA ABRIGO - COLAGEM,,"0,00%",,,
2 BI,TOTENS,SOCORRO,ESTRUTURA ABRIGO - BANCO PICHADO,,"0,00%",,,
2 BI,TOTENS,SOCORRO,ELÉTRICA - LUMINÁRIA DANIFICADA,,"0,00%",,,
2 BI,TOTENS,SOCORRO,ELÉTRICA - LUMINÁRIA AUSENTE,,"0,00%",,,
2 BI,TOTENS,SOCORRO,ELÉTRICA - LUMINÁRIA ACESA DE DIA,,"0,00%",,,
2 BI,TOTENS,SOCORRO,ELÉTRICA - ILUMINAÇÃO,,"0,00%",,,
2 BI,TOTENS,SOCORRO,ELÉTRICA - FIAÇÃO POSTE DESCONECTADA,,"0,00%",,,
2 BI,TOTENS,SOCORRO,ELÉTRICA - FIAÇÃO EXPOSTA,,"0,00%",,,
2 BI,TOTENS,SOCORRO,COBERTURA - SUJA,,"0,00%",,,
2 BI,TOTENS,SOCORRO,COBERTURA - DANIFICADA,,"0,00%",,,
2 BI,TOTENS,VILA ANDRADE,PAINEL - SUJO,,"0,00%",,,
2 BI,TOTENS,VILA ANDRADE,PAINEL - ILUMINADO DE DIA,,"0,00%",,,
2 BI,TOTENS,VILA ANDRADE,COBERTURA - INFILTRAÇÃO,,"0,00%",,,
2 BI,TOTENS,VILA ANDRADE,VIDRO - RISCADO,,"0,00%",,,
2 BI,TOTENS,VILA ANDRADE,VIDRO - RESINA,,"0,00%",,,
2 BI,TOTENS,VILA ANDRADE,VIDRO - QUEBRADO,,"0,00%",,,
2 BI,TOTENS,VILA ANDRADE,VIDRO - PICHAÇÃO,,"0,00%",,,
2 BI,TOTENS,VILA ANDRADE,VIDRO - COLAGEM,,"0,00%",,,
2 BI,TOTENS,VILA ANDRADE,VIDRO - ANTEPARO AUSENTE,,"0,00%",,,
2 BI,TOTENS,VILA ANDRADE,TOTEM - RISCADO/DANIFICADO,,"0,00%",,,
2 BI,TOTENS,VILA ANDRADE,TOTEM - PICHAÇÃO,4,"0,10%",,,
2 BI,TOTENS,VILA ANDRADE,TOTEM - INCLINADO/BASE DANIFICADA,,"0,00%",,,
2 BI,TOTENS,VILA ANDRADE,TOTEM - COM FERRUGEM,,"0,00%",,,
2 BI,TOTENS,VILA ANDRADE,TOTEM - COM COLAGEM,2,"0,05%",,,
2 BI,TOTENS,VILA ANDRADE,PISO - SUJO,,"0,00%",,,
2 BI,TOTENS,VILA ANDRADE,PISO - PODOTATIL DANIFICADO,4,"0,10%",,,
2 BI,TOTENS,VILA ANDRADE,PISO - PODOTATIL AUSENTE,6,"0,15%",,,
2 BI,TOTENS,VILA ANDRADE,PISO - ENTORNO INADEQUADO,,"0,00%",,,
2 BI,TOTENS,VILA ANDRADE,PAINEL - FERRUGEM,,"0,00%",,,
2 BI,TOTENS,VILA ANDRADE,ITINERARIO - PICTOGRAMA DANIFICADO,,"0,00%",,,
2 BI,TOTENS,VILA ANDRADE,ITINERARIO - DIVERGENTE,,"0,00%",,,
2 BI,TOTENS,VILA ANDRADE,ITINERARIO - DANIFICADO PARCIALMENTE,24,"0,59%",,,
2 BI,TOTENS,VILA ANDRADE,ITINERARIO - AUSENTE,14,"0,35%",,,
2 BI,TOTENS,VILA ANDRADE,ESTRUTURA ABRIGO - SUJO,,"0,00%",,,
2 BI,TOTENS,VILA ANDRADE,ESTRUTURA ABRIGO - PICHAÇÃO,,"0,00%",,,
2 BI,TOTENS,VILA ANDRADE,ESTRUTURA ABRIGO - FERRUGEM,,"0,00%",,,
2 BI,TOTENS,VILA ANDRADE,ESTRUTURA ABRIGO - COLAGEM,,"0,00%",,,
2 BI,TOTENS,VILA ANDRADE,ESTRUTURA ABRIGO - BANCO PICHADO,,"0,00%",,,
2 BI,TOTENS,VILA ANDRADE,ELÉTRICA - LUMINÁRIA DANIFICADA,,"0,00%",,,
2 BI,TOTENS,VILA ANDRADE,ELÉTRICA - LUMINÁRIA AUSENTE,,"0,00%",,,
2 BI,TOTENS,VILA ANDRADE,ELÉTRICA - LUMINÁRIA ACESA DE DIA,,"0,00%",,,
2 BI,TOTENS,VILA ANDRADE,ELÉTRICA - ILUMINAÇÃO,,"0,00%",,,
2 BI,TOTENS,VILA ANDRADE,ELÉTRICA - FIAÇÃO POSTE DESCONECTADA,,"0,00%",,,
2 BI,TOTENS,VILA ANDRADE,ELÉTRICA - FIAÇÃO EXPOSTA,,"0,00%",,,
2 BI,TOTENS,VILA ANDRADE,COBERTURA - SUJA,,"0,00%",,,
2 BI,TOTENS,VILA ANDRADE,COBERTURA - DANIFICADA,,"0,00%",,,
2 BI,TOTENS,VILA MARIANA,PAINEL - SUJO,,"0,00%",,,
2 BI,TOTENS,VILA MARIANA,PAINEL - ILUMINADO DE DIA,,"0,00%",,,
2 BI,TOTENS,VILA MARIANA,COBERTURA - INFILTRAÇÃO,,"0,00%",,,
2 BI,TOTENS,VILA MARIANA,VIDRO - RISCADO,,"0,00%",,,
2 BI,TOTENS,VILA MARIANA,VIDRO - RESINA,,"0,00%",,,
2 BI,TOTENS,VILA MARIANA,VIDRO - QUEBRADO,,"0,00%",,,
2 BI,TOTENS,VILA MARIANA,VIDRO - PICHAÇÃO,,"0,00%",,,
2 BI,TOTENS,VILA MARIANA,VIDRO - COLAGEM,,"0,00%",,,
2 BI,TOTENS,VILA MARIANA,VIDRO - ANTEPARO AUSENTE,,"0,00%",,,
2 BI,TOTENS,VILA MARIANA,TOTEM - RISCADO/DANIFICADO,,"0,00%",,,
2 BI,TOTENS,VILA MARIANA,TOTEM - PICHAÇÃO,7,"0,17%",,,
2 BI,TOTENS,VILA MARIANA,TOTEM - INCLINADO/BASE DANIFICADA,,"0,00%",,,
2 BI,TOTENS,VILA MARIANA,TOTEM - COM FERRUGEM,,"0,00%",,,
2 BI,TOTENS,VILA MARIANA,TOTEM - COM COLAGEM,3,"0,07%",,,
2 BI,TOTENS,VILA MARIANA,PISO - SUJO,,"0,00%",,,
2 BI,TOTENS,VILA MARIANA,PISO - PODOTATIL DANIFICADO,3,"0,07%",,,
2 BI,TOTENS,VILA MARIANA,PISO - PODOTATIL AUSENTE,3,"0,07%",,,
2 BI,TOTENS,VILA MARIANA,PISO - ENTORNO INADEQUADO,,"0,00%",,,
2 BI,TOTENS,VILA MARIANA,PAINEL - FERRUGEM,,"0,00%",,,
2 BI,TOTENS,VILA MARIANA,ITINERARIO - PICTOGRAMA DANIFICADO,1,"0,02%",,,
2 BI,TOTENS,VILA MARIANA,ITINERARIO - DIVERGENTE,,"0,00%",,,
2 BI,TOTENS,VILA MARIANA,ITINERARIO - DANIFICADO PARCIALMENTE,38,"0,94%",,,
2 BI,TOTENS,VILA MARIANA,ITINERARIO - AUSENTE,18,"0,44%",,,
2 BI,TOTENS,VILA MARIANA,ESTRUTURA ABRIGO - SUJO,,"0,00%",,,
2 BI,TOTENS,VILA MARIANA,ESTRUTURA ABRIGO - PICHAÇÃO,,"0,00%",,,
2 BI,TOTENS,VILA MARIANA,ESTRUTURA ABRIGO - FERRUGEM,,"0,00%",,,
2 BI,TOTENS,VILA MARIANA,ESTRUTURA ABRIGO - COLAGEM,,"0,00%",,,
2 BI,TOTENS,VILA MARIANA,ESTRUTURA ABRIGO - BANCO PICHADO,,"0,00%",,,
2 BI,TOTENS,VILA MARIANA,ELÉTRICA - LUMINÁRIA DANIFICADA,,"0,00%",,,
2 BI,TOTENS,VILA MARIANA,ELÉTRICA - LUMINÁRIA AUSENTE,,"0,00%",,,
2 BI,TOTENS,VILA MARIANA,ELÉTRICA - LUMINÁRIA ACESA DE DIA,,"0,00%",,,
2 BI,TOTENS,VILA MARIANA,ELÉTRICA - ILUMINAÇÃO,,"0,00%",,,
2 BI,TOTENS,VILA MARIANA,ELÉTRICA - FIAÇÃO POSTE DESCONECTADA,,"0,00%",,,
2 BI,TOTENS,VILA MARIANA,ELÉTRICA - FIAÇÃO EXPOSTA,,"0,00%",,,
2 BI,TOTENS,VILA MARIANA,COBERTURA - SUJA,,"0,00%",,,
2 BI,TOTENS,VILA MARIANA,COBERTURA - DANIFICADA,,"0,00%",,,
3 BI,ABRIGOS,AGUA RASA,COBERTURA - DANIFICADA,,"0,00%",,,
3 BI,ABRIGOS,AGUA RASA,ELÉTRICA - CAIXA ENERGIA DANIFICADA,,"0,00%",,,
3 BI,ABRIGOS,AGUA RASA,ELÉTRICA - CONEXÃO DE RAMAL,,"0,00%",,,
3 BI,ABRIGOS,AGUA RASA,ELÉTRICA - FIAÇÃO EXPOSTA,,"0,00%",,,
3 BI,ABRIGOS,AGUA RASA,ELÉTRICA - FIAÇÃO POSTE DESCONECTADA,,"0,00%",,,
3 BI,ABRIGOS,AGUA RASA,ELÉTRICA - ILUMINAÇÃO,,"0,00%",,,
3 BI,ABRIGOS,AGUA RASA,ELÉTRICA - LUMINÁRIA ACESA DE DIA,,"0,00%",,,
3 BI,ABRIGOS,AGUA RASA,ELÉTRICA - LUMINÁRIA AUSENTE,,"0,00%",,,
3 BI,ABRIGOS,AGUA RASA,ELÉTRICA - LUMINÁRIA DANIFICADA,,"0,00%",,,
3 BI,ABRIGOS,AGUA RASA,ESTRUTURA ABRIGO - BANCO PICHADO,,"0,00%",,,
3 BI,ABRIGOS,AGUA RASA,ESTRUTURA ABRIGO - COLAGEM,1,"0,08%",,,
3 BI,ABRIGOS,AGUA RASA,ESTRUTURA ABRIGO - PICHAÇÃO,,"0,00%",,,
3 BI,ABRIGOS,AGUA RASA,ESTRUTURA ABRIGO - PINTURA RISCADA/DANIFICADA,,"0,00%",,,
3 BI,ABRIGOS,AGUA RASA,ESTRUTURA ABRIGO - SUJO,,"0,00%",,,
3 BI,ABRIGOS,AGUA RASA,ITINERARIO - AUSENTE,,"0,00%",,,
3 BI,ABRIGOS,AGUA RASA,ITINERARIO - DANIFICADO PARCIALMENTE,,"0,00%",,,
3 BI,ABRIGOS,AGUA RASA,ITINERARIO - PICTOGRAMA DANIFICADO,,"0,00%",,,
3 BI,ABRIGOS,AGUA RASA,PAINEL - SUJO,,"0,00%",,,
3 BI,ABRIGOS,AGUA RASA,PISO - ENTORNO INADEQUADO,,"0,00%",,,
3 BI,ABRIGOS,AGUA RASA,PISO - PODOTATIL AUSENTE,,"0,00%",,,
3 BI,ABRIGOS,AGUA RASA,PISO - PODOTATIL DANIFICADO,,"0,00%",,,
3 BI,ABRIGOS,AGUA RASA,PISO - SUJO,,"0,00%",,,
3 BI,ABRIGOS,AGUA RASA,TOTEM - COM COLAGEM,,"0,00%",,,
3 BI,ABRIGOS,AGUA RASA,TOTEM - COM FERRUGEM,,"0,00%",,,
3 BI,ABRIGOS,AGUA RASA,TOTEM - INCLINADO/BASE DANIFICADA,,"0,00%",,,
3 BI,ABRIGOS,AGUA RASA,TOTEM - PICHAÇÃO,,"0,00%",,,
3 BI,ABRIGOS,AGUA RASA,TOTEM - RISCADO/DANIFICADO,,"0,00%",,,
3 BI,ABRIGOS,AGUA RASA,TOTEM - SUBSTITUIÇÃO ANTIGO,,"0,00%",,,
3 BI,ABRIGOS,AGUA RASA,VIDRO - ANTEPARO AUSENTE,,"0,00%",,,
3 BI,ABRIGOS,AGUA RASA,VIDRO - COLAGEM,,"0,00%",,,
3 BI,ABRIGOS,AGUA RASA,VIDRO - PICHAÇÃO,,"0,00%",,,
3 BI,ABRIGOS,AGUA RASA,VIDRO - QUEBRADO,,"0,00%",,,
3 BI,ABRIGOS,AGUA RASA,VIDRO - RESINA,,"0,00%",,,
3 BI,ABRIGOS,AGUA RASA,VIDRO - RISCADO,,"0,00%",,,
3 BI,ABRIGOS,BARRA FUNDA,COBERTURA - DANIFICADA,,"0,00%",,,
3 BI,ABRIGOS,BARRA FUNDA,ELÉTRICA - CAIXA ENERGIA DANIFICADA,,"0,00%",,,
3 BI,ABRIGOS,BARRA FUNDA,ELÉTRICA - CONEXÃO DE RAMAL,,"0,00%",,,
3 BI,ABRIGOS,BARRA FUNDA,ELÉTRICA - FIAÇÃO EXPOSTA,,"0,00%",,,
3 BI,ABRIGOS,BARRA FUNDA,ELÉTRICA - FIAÇÃO POSTE DESCONECTADA,,"0,00%",,,
3 BI,ABRIGOS,BARRA FUNDA,ELÉTRICA - ILUMINAÇÃO,,"0,00%",,,
3 BI,ABRIGOS,BARRA FUNDA,ELÉTRICA - LUMINÁRIA ACESA DE DIA,,"0,00%",,,
3 BI,ABRIGOS,BARRA FUNDA,ELÉTRICA - LUMINÁRIA AUSENTE,,"0,00%",,,
3 BI,ABRIGOS,BARRA FUNDA,ELÉTRICA - LUMINÁRIA DANIFICADA,,"0,00%",,,
3 BI,ABRIGOS,BARRA FUNDA,ESTRUTURA ABRIGO - BANCO PICHADO,,"0,00%",,,
3 BI,ABRIGOS,BARRA FUNDA,ESTRUTURA ABRIGO - COLAGEM,,"0,00%",,,
3 BI,ABRIGOS,BARRA FUNDA,ESTRUTURA ABRIGO - PICHAÇÃO,,"0,00%",,,
3 BI,ABRIGOS,BARRA FUNDA,ESTRUTURA ABRIGO - PINTURA RISCADA/DANIFICADA,,"0,00%",,,
3 BI,ABRIGOS,BARRA FUNDA,ESTRUTURA ABRIGO - SUJO,,"0,00%",,,
3 BI,ABRIGOS,BARRA FUNDA,ITINERARIO - AUSENTE,,"0,00%",,,
3 BI,ABRIGOS,BARRA FUNDA,ITINERARIO - DANIFICADO PARCIALMENTE,,"0,00%",,,
3 BI,ABRIGOS,BARRA FUNDA,ITINERARIO - PICTOGRAMA DANIFICADO,,"0,00%",,,
3 BI,ABRIGOS,BARRA FUNDA,PAINEL - SUJO,,"0,00%",,,
3 BI,ABRIGOS,BARRA FUNDA,PISO - ENTORNO INADEQUADO,,"0,00%",,,
3 BI,ABRIGOS,BARRA FUNDA,PISO - PODOTATIL AUSENTE,,"0,00%",,,
3 BI,ABRIGOS,BARRA FUNDA,PISO - PODOTATIL DANIFICADO,,"0,00%",,,
3 BI,ABRIGOS,BARRA FUNDA,PISO - SUJO,,"0,00%",,,
3 BI,ABRIGOS,BARRA FUNDA,TOTEM - COM COLAGEM,,"0,00%",,,
3 BI,ABRIGOS,BARRA FUNDA,TOTEM - COM FERRUGEM,,"0,00%",,,
3 BI,ABRIGOS,BARRA FUNDA,TOTEM - INCLINADO/BASE DANIFICADA,,"0,00%",,,
3 BI,ABRIGOS,BARRA FUNDA,TOTEM - PICHAÇÃO,,"0,00%",,,
3 BI,ABRIGOS,BARRA FUNDA,TOTEM - RISCADO/DANIFICADO,,"0,00%",,,
3 BI,ABRIGOS,BARRA FUNDA,TOTEM - SUBSTITUIÇÃO ANTIGO,,"0,00%",,,
3 BI,ABRIGOS,BARRA FUNDA,VIDRO - ANTEPARO AUSENTE,,"0,00%",,,
3 BI,ABRIGOS,BARRA FUNDA,VIDRO - COLAGEM,,"0,00%",,,
3 BI,ABRIGOS,BARRA FUNDA,VIDRO - PICHAÇÃO,,"0,00%",,,
3 BI,ABRIGOS,BARRA FUNDA,VIDRO - QUEBRADO,,"0,00%",,,
3 BI,ABRIGOS,BARRA FUNDA,VIDRO - RESINA,,"0,00%",,,
3 BI,ABRIGOS,BARRA FUNDA,VIDRO - RISCADO,,"0,00%",,,
3 BI,ABRIGOS,BOM RETIRO,COBERTURA - DANIFICADA,,"0,00%",,,
3 BI,ABRIGOS,BOM RETIRO,ELÉTRICA - CAIXA ENERGIA DANIFICADA,,"0,00%",,,
3 BI,ABRIGOS,BOM RETIRO,ELÉTRICA - CONEXÃO DE RAMAL,,"0,00%",,,
3 BI,ABRIGOS,BOM RETIRO,ELÉTRICA - FIAÇÃO EXPOSTA,,"0,00%",,,
3 BI,ABRIGOS,BOM RETIRO,ELÉTRICA - FIAÇÃO POSTE DESCONECTADA,,"0,00%",,,
3 BI,ABRIGOS,BOM RETIRO,ELÉTRICA - ILUMINAÇÃO,,"0,00%",,,
3 BI,ABRIGOS,BOM RETIRO,ELÉTRICA - LUMINÁRIA ACESA DE DIA,5,"0,41%",,,
3 BI,ABRIGOS,BOM RETIRO,ELÉTRICA - LUMINÁRIA AUSENTE,1,"0,08%",,,
3 BI,ABRIGOS,BOM RETIRO,ELÉTRICA - LUMINÁRIA DANIFICADA,1,"0,08%",,,
3 BI,ABRIGOS,BOM RETIRO,ESTRUTURA ABRIGO - BANCO PICHADO,,"0,00%",,,
3 BI,ABRIGOS,BOM RETIRO,ESTRUTURA ABRIGO - COLAGEM,,"0,00%",,,
3 BI,ABRIGOS,BOM RETIRO,ESTRUTURA ABRIGO - PICHAÇÃO,1,"0,08%",,,
3 BI,ABRIGOS,BOM RETIRO,ESTRUTURA ABRIGO - PINTURA RISCADA/DANIFICADA,,"0,00%",,,
3 BI,ABRIGOS,BOM RETIRO,ESTRUTURA ABRIGO - SUJO,,"0,00%",,,
3 BI,ABRIGOS,BOM RETIRO,ITINERARIO - AUSENTE,6,"0,49%",,,
3 BI,ABRIGOS,BOM RETIRO,ITINERARIO - DANIFICADO PARCIALMENTE,14,"1,14%",,,
3 BI,ABRIGOS,BOM RETIRO,ITINERARIO - PICTOGRAMA DANIFICADO,2,"0,16%",,,
3 BI,ABRIGOS,BOM RETIRO,PAINEL - SUJO,,"0,00%",,,
3 BI,ABRIGOS,BOM RETIRO,PISO - ENTORNO INADEQUADO,,"0,00%",,,
3 BI,ABRIGOS,BOM RETIRO,PISO - PODOTATIL AUSENTE,,"0,00%",,,
3 BI,ABRIGOS,BOM RETIRO,PISO - PODOTATIL DANIFICADO,3,"0,24%",,,
3 BI,ABRIGOS,BOM RETIRO,PISO - SUJO,,"0,00%",,,
3 BI,ABRIGOS,BOM RETIRO,TOTEM - COM COLAGEM,4,"0,32%",,,
3 BI,ABRIGOS,BOM RETIRO,TOTEM - COM FERRUGEM,1,"0,08%",,,
3 BI,ABRIGOS,BOM RETIRO,TOTEM - INCLINADO/BASE DANIFICADA,,"0,00%",,,
3 BI,ABRIGOS,BOM RETIRO,TOTEM - PICHAÇÃO,5,"0,41%",,,
3 BI,ABRIGOS,BOM RETIRO,TOTEM - RISCADO/DANIFICADO,,"0,00%",,,
3 BI,ABRIGOS,BOM RETIRO,TOTEM - SUBSTITUIÇÃO ANTIGO,,"0,00%",,,
3 BI,ABRIGOS,BOM RETIRO,VIDRO - ANTEPARO AUSENTE,,"0,00%",,,
3 BI,ABRIGOS,BOM RETIRO,VIDRO - COLAGEM,2,"0,16%",,,
3 BI,ABRIGOS,BOM RETIRO,VIDRO - PICHAÇÃO,2,"0,16%",,,
3 BI,ABRIGOS,BOM RETIRO,VIDRO - QUEBRADO,,"0,00%",,,
3 BI,ABRIGOS,BOM RETIRO,VIDRO - RESINA,,"0,00%",,,
3 BI,ABRIGOS,BOM RETIRO,VIDRO - RISCADO,,"0,00%",,,
3 BI,ABRIGOS,BUTANTA,COBERTURA - DANIFICADA,,"0,00%",,,
3 BI,ABRIGOS,BUTANTA,ELÉTRICA - CAIXA ENERGIA DANIFICADA,,"0,00%",,,
3 BI,ABRIGOS,BUTANTA,ELÉTRICA - CONEXÃO DE RAMAL,,"0,00%",,,
3 BI,ABRIGOS,BUTANTA,ELÉTRICA - FIAÇÃO EXPOSTA,,"0,00%",,,
3 BI,ABRIGOS,BUTANTA,ELÉTRICA - FIAÇÃO POSTE DESCONECTADA,,"0,00%",,,
3 BI,ABRIGOS,BUTANTA,ELÉTRICA - ILUMINAÇÃO,,"0,00%",,,
3 BI,ABRIGOS,BUTANTA,ELÉTRICA - LUMINÁRIA ACESA DE DIA,2,"0,16%",,,
3 BI,ABRIGOS,BUTANTA,ELÉTRICA - LUMINÁRIA AUSENTE,,"0,00%",,,
3 BI,ABRIGOS,BUTANTA,ELÉTRICA - LUMINÁRIA DANIFICADA,,"0,00%",,,
3 BI,ABRIGOS,BUTANTA,ESTRUTURA ABRIGO - BANCO PICHADO,,"0,00%",,,
3 BI,ABRIGOS,BUTANTA,ESTRUTURA ABRIGO - COLAGEM,,"0,00%",,,
3 BI,ABRIGOS,BUTANTA,ESTRUTURA ABRIGO - PICHAÇÃO,,"0,00%",,,
3 BI,ABRIGOS,BUTANTA,ESTRUTURA ABRIGO - PINTURA RISCADA/DANIFICADA,,"0,00%",,,
3 BI,ABRIGOS,BUTANTA,ESTRUTURA ABRIGO - SUJO,,"0,00%",,,
3 BI,ABRIGOS,BUTANTA,ITINERARIO - AUSENTE,10,"0,81%",,,
3 BI,ABRIGOS,BUTANTA,ITINERARIO - DANIFICADO PARCIALMENTE,5,"0,41%",,,
3 BI,ABRIGOS,BUTANTA,ITINERARIO - PICTOGRAMA DANIFICADO,1,"0,08%",,,
3 BI,ABRIGOS,BUTANTA,PAINEL - SUJO,,"0,00%",,,
3 BI,ABRIGOS,BUTANTA,PISO - ENTORNO INADEQUADO,,"0,00%",,,
3 BI,ABRIGOS,BUTANTA,PISO - PODOTATIL AUSENTE,,"0,00%",,,
3 BI,ABRIGOS,BUTANTA,PISO - PODOTATIL DANIFICADO,1,"0,08%",,,
3 BI,ABRIGOS,BUTANTA,PISO - SUJO,,"0,00%",,,
3 BI,ABRIGOS,BUTANTA,TOTEM - COM COLAGEM,1,"0,08%",,,
3 BI,ABRIGOS,BUTANTA,TOTEM - COM FERRUGEM,,"0,00%",,,
3 BI,ABRIGOS,BUTANTA,TOTEM - INCLINADO/BASE DANIFICADA,,"0,00%",,,
3 BI,ABRIGOS,BUTANTA,TOTEM - PICHAÇÃO,3,"0,24%",,,
3 BI,ABRIGOS,BUTANTA,TOTEM - RISCADO/DANIFICADO,,"0,00%",,,
3 BI,ABRIGOS,BUTANTA,TOTEM - SUBSTITUIÇÃO ANTIGO,,"0,00%",,,
3 BI,ABRIGOS,BUTANTA,VIDRO - ANTEPARO AUSENTE,1,"0,08%",,,
3 BI,ABRIGOS,BUTANTA,VIDRO - COLAGEM,1,"0,08%",,,
3 BI,ABRIGOS,BUTANTA,VIDRO - PICHAÇÃO,,"0,00%",,,
3 BI,ABRIGOS,BUTANTA,VIDRO - QUEBRADO,,"0,00%",,,
3 BI,ABRIGOS,BUTANTA,VIDRO - RESINA,,"0,00%",,,
3 BI,ABRIGOS,BUTANTA,VIDRO - RISCADO,2,"0,16%",,,
3 BI,ABRIGOS,CARRAO,COBERTURA - DANIFICADA,,"0,00%",,,
3 BI,ABRIGOS,CARRAO,ELÉTRICA - CAIXA ENERGIA DANIFICADA,,"0,00%",,,
3 BI,ABRIGOS,CARRAO,ELÉTRICA - CONEXÃO DE RAMAL,,"0,00%",,,
3 BI,ABRIGOS,CARRAO,ELÉTRICA - FIAÇÃO EXPOSTA,,"0,00%",,,
3 BI,ABRIGOS,CARRAO,ELÉTRICA - FIAÇÃO POSTE DESCONECTADA,,"0,00%",,,
3 BI,ABRIGOS,CARRAO,ELÉTRICA - ILUMINAÇÃO,1,"0,08%",,,
